enzyme_idx,string_id,uniprot_id
122,3847.A0A0R0FGB5,A0A0R0FGB5
123,3847.A0A0R0FGD6,A0A0R0FGD6
124,3847.A0A0R0FGG9,A0A0R0FGG9
125,3847.A0A0R0FGJ1,A0A0R0FGJ1
126,3847.A0A0R0FGJ5,A0A0R0FGJ5
127,3847.A0A0R0FGZ5,A0A0R0FGZ5
128,3847.A0A0R0FH08,A0A0R0FH08
129,3847.A0A0R0FHW6,A0A0R0FHW6
130,3847.A0A0R0FI80,A0A0R0FI80
131,3847.A0A0R0FIM4,A0A0R0FIM4
132,3847.A0A0R0FJF0,A0A0R0FJF0
133,3847.A0A0R0FJJ3,A0A0R0FJJ3
134,3847.A0A0R0FK72,A0A0R0FK72
135,3847.A0A0R0FLI5,A0A0R0FLI5
136,3847.A0A0R0FM08,A0A0R0FM08
137,3847.A0A0R0FM71,A0A0R0FM71
138,3847.A0A0R0FM78,A0A0R0FM78
139,3847.A0A0R0FM79,A0A0R0FM79
140,3847.A0A0R0FMD1,A0A0R0FMD1
141,3847.A0A0R0FME9,A0A0R0FME9
142,3847.A0A0R0FMJ7,A0A0R0FMJ7
143,3847.A0A0R0FMM6,A0A0R0FMM6
144,3847.A0A0R0FMR6,A0A0R0FMR6
145,3847.A0A0R0FMY8,A0A0R0FMY8
146,3847.A0A0R0FND9,A0A0R0FND9
147,3847.A0A0R0FP88,A0A0R0FP88
148,3847.A0A0R0FP98,A0A0R0FP98
149,3847.A0A0R0FPB1,A0A0R0FPB1
150,3847.A0A0R0FPB3,A0A0R0FPB3
151,3847.A0A0R0FPN2,A0A0R0FPN2
152,3847.A0A0R0FPN3,A0A0R0FPN3
153,3847.A0A0R0FQN0,A0A0R0FQN0
154,3847.A0A0R0FR88,A0A0R0FR88
155,3847.A0A0R0FSB1,A0A0R0FSB1
156,3847.A0A0R0FSP4,A0A0R0FSP4
157,3847.A0A0R0FSQ6,A0A0R0FSQ6
158,3847.A0A0R0FUI6,A0A0R0FUI6
159,3847.A0A0R0FV18,A0A0R0FV18
160,3847.A0A0R0FVB4,A0A0R0FVB4
161,3847.A0A0R0FVX7,A0A0R0FVX7
162,3847.A0A0R0FW78,A0A0R0FW78
163,3847.A0A0R0FW96,A0A0R0FW96
164,3847.A0A0R0FWJ6,A0A0R0FWJ6
165,3847.A0A0R0FWJ8,A0A0R0FWJ8
