gene_id	ec
100778253	1.1.1.219
100778253	1.1.1.234
100778257	4.1.2.63
100778266	2.3.1.133
100778273	1.16.3.1
100778279	1.2.4.1
100778285	5.6.2.7
100778289	2.5.1.1
100778289	2.5.1.10
100778289	2.5.1.29
100778294	2.1.1.260
100778301	5.4.99.30
100778306	1.14.13.168
100778321	5.4.2.2
100778332	2.4.1.43
100778338	3.4.19.12
100778340	2.4.1.207
100778348	2.7.1.137
100778349	3.1.3.7
100778356	2.7.2.3
100778357	5.4.99.30
100778363	4.1.2.13
100778368	4.1.1.36
100778369	2.7.12.2
100778390	5.2.1.8
100778394	2.7.1.67
100778398	5.4.99.39
100778423	3.5.3.1
100778430	2.5.1.27
100778430	2.5.1.112
100778432	2.3.2.27
100778442	3.4.19.12
100778443	4.4.1.28
100778448	2.4.1.173
100778449	2.1.1.60
100778462	2.3.2.27
100778471	2.7.11.1
100778473	6.3.2.3
100778482	2.4.1.207
100778487	2.3.1.199
100778495	2.7.1.17
100778498	3.4.25.1
100778505	2.5.1.54
100778506	4.2.1.3
100778509	2.1.1.95
100778515	3.2.1.78
100778526	3.2.1.14
100778531	1.14.14.82
100778546	7.6.2.1
100778547	2.3.2.27
100778549	6.3.3.3
100778549	2.6.1.127
100778556	2.4.1.141
100778567	3.6.1.13
100778567	3.6.1.22
100778575	1.1.3.20
100778586	2.3.1.30
100778602	1.14.15.21
100778605	2.1.1.85
100778609	3.4.21.92
100778613	2.3.1.87
100778616	1.1.3.8
100778626	2.3.1.133
100778639	2.4.1.218
100778658	6.4.1.2
100778658	6.3.4.14
100778658	2.1.3.15
100778673	1.15.1.1
100778704	4.3.2.9
100778710	7.6.2.1
100778716	3.4.22.41
100778722	1.2.1.3
100778723	2.6.1.42
100778729	4.1.3.27
100778730	2.3.2.27
100778752	2.7.1.4
100778763	4.1.99.12
100778763	3.5.4.25
100778771	1.3.8.7
100778777	2.7.7.6
100778778	1.5.3.16
100778785	2.3.1.168
100778802	1.4.3.21
100778809	2.5.1.6
100778828	2.3.2.15
100778828	3.4.17.25
100778831	1.1.1.41
100778832	2.4.1.144
100778837	2.7.11.1
100778869	2.3.2.27
100778889	6.2.1.3
100778897	3.1.4.4
100778901	2.4.1.351
100778925	4.4.1.14
100778935	5.6.1.7
100778954	3.2.1.15
100778961	3.4.19.12
100778962	2.3.1.51
100778962	2.3.1.23
100778966	3.6.5.5
100778978	5.4.99.12
100778993	2.4.1.207
100778995	2.4.1.121
100779000	7.6.2.2
100779001	2.7.11.25
100779014	2.4.1.255
100779024	2.3.2.27
100779031	1.11.1.7
100779066	2.4.1.1
100779069	2.3.2.27
100779074	2.7.1.148
100779081	1.6.2.2
100779099	2.1.1.221
100779105	2.3.2.27
100779106	2.3.1.30
100779122	2.4.1.207
100779131	3.2.1.39
100779132	2.5.1.61
100779137	2.7.11.25
100779139	1.1.3.20
100779145	6.1.1.20
100779147	2.7.1.150
100779160	2.4.1.128
100779167	2.5.1.62
100779167	2.5.1.133
100779176	2.4.1.218
100779180	1.10.3.2
100779198	1.2.4.4
100779210	2.2.1.6
100779224	3.2.1.6
100779225	2.3.1.158
100779240	3.4.25.1
100779241	3.1.3.16
100779259	3.6.4.6
100779260	2.1.1.104
100779280	2.3.1.133
100779295	2.3.1.188
100779296	3.5.1.98
100779299	2.7.7.6
100779306	6.2.1.8
100779312	2.6.1.16
100779327	2.1.1.176
100779345	2.7.8.5
100779355	2.6.1.52
100779367	2.7.7.13
100779376	1.14.11.27
100779381	2.7.1.159
100779381	2.7.1.134
100779383	4.4.1.5
100779408	2.7.11.2
100779412	2.8.2.39
100779413	2.7.11.22
100779413	2.7.11.23
100779416	3.1.30.1
100779419	3.2.2.16
100779425	2.7.7.6
100779442	2.4.2.58
100779448	2.7.11.1
100779469	2.7.11.24
100779483	5.6.2.3
100779504	2.3.1.225
100779525	1.14.11.13
100779528	2.7.11.1
100779532	2.7.7.6
100779534	5.6.2.2
100779548	2.3.2.27
100779551	3.4.11.9
100779563	2.5.1.27
100779563	2.5.1.112
100779565	3.4.22.41
100779575	5.6.2.1
100779584	4.1.1.35
100779588	1.14.14.82
100779602	5.1.3.3
100779610	5.6.2.3
100779619	3.4.23.40
100779625	5.6.2.3
100779634	4.2.1.96
100779638	2.1.1.150
100779642	3.2.1.21
100779649	2.3.1.74
100779652	2.3.1.133
100779668	6.2.1.12
100779679	1.3.1.9
100779679	1.3.1.10
