kegg_gene,uniprot
100306006,C6SXJ8
100306008,C6SXK2
100306009,C6SXK1
100306010,C6SXK6
100306011,C6SXK7
100306012,C6SXK9
100306013,C6SXL0
100306014,C6SXL1
100306015,C6SXL4
100306016,C6SXL5
100306017,C6SXL8
100306018,C6SXM0
100306019,C6SXM1
100306021,C6SXM4
100306022,C6SXM5
100306023,C6SXM6
100306024,C6SXM7
100306025,C6SXM9
100306026,C6SXN0
100306027,C6SXN2
100306028,C6SXN3
100306029,C6SXN4
100306030,C6SXN5
100306031,I1JKE0
100306032,C6SXN8
100306033,C6SXN9
100306034,C6SXP3
100306035,C6SXP4
100306036,C6SXP5
100306037,C6SXP6
100306038,A0A0R0HWH1
100306040,C6SXQ1
100306041,C6SXQ4
100306042,C6SXQ5
100306043,C6SXQ6
100306044,C6SXQ7
100306045,C6SXQ9
100306046,C6SXR1
100306047,C6SXR3
100306048,C6SXR5
100306049,C6SXR7
100306050,C6SXR8
100306051,C6SXR9
100306052,C6SXS1
100306053,C6SXS0
100306054,C6SXS3
100306055,C6SXS2
100306056,C6SXS4
100306057,C6SXS5
100306058,C6SXS7
100306060,C6SXS8
100306061,C6SXS9
100306062,C6SXT1
100306063,C6SXT3
100306064,C6SXT4
100306065,C6SXT5
100306066,C6SXT6
100306067,C6SXT7
100306068,C6SXT8
100306069,C6SXU3
100306070,C6SXU2
100306071,C6SXU5
100306072,C6SXU4
100306073,C6SXU6
100306074,C6SXU7
100306075,C6SXU9
100306076,C6SXV1
100306077,I1J5Q7
100306079,C6SXV6
100306080,C6SXV9
100306081,C6SXV8
100306082,C6SXW0
100306083,C6SXW3
100306084,C6SXW4
100306085,C6SXW6
100306088,C6SXX5
100306089,C6SXX6
100306090,C6SXX7
100306091,C6SXY0
100306092,C6SXY1
100306093,C6SXY3
100306094,C6SXY6
100306095,C6SXY8
100306096,C6SXZ0
100306097,C6SXZ3
100306098,C6SXZ4
100306099,C6SXZ5
100306100,C6SXZ6
100306101,C6SY00
100306102,I1M7S2
100306103,A0A0R0K972
100306104,C6SY03
100306105,C6SY05
100306106,C6SY06
100306107,C6SY08
100306108,C6SY07
100306109,C6SY09
100306110,C6SY10
100306111,C6SY14
100306112,C6SY16
100306113,C6SY15
100306114,C6SY17
100306115,C6SY18
100306116,C6SY20
100306117,C6SY21
100306119,C6SY26
100306120,C6SY27
100306121,C6SY30
100306122,C6SY29
100306123,C6SY31
100306124,C6SY33
100306125,C6SY34
100306127,C6SY36
100306129,C6SY38
100306130,C6SY39
100306131,C6SY40
100306132,C6SY42
100306133,C6SY43
100306134,C6SY46
100306135,C6SY47
100306136,C6SY48
100306138,K7L1A6
100306139,C6SY51
100306141,C6SY54
100306142,C6SY56
100306145,C6SY61
100306146,I1KRT2
100306147,C6SY63
100306148,C6SY64
100306151,C6SY68
100306152,C6SY70
100306153,C6SY71
100306154,C6SY72
100306155,C6SY75
100306157,C6SY82
100306158,C6SY85
100306159,C6SY86
100306160,I1L9C7
100306161,C6SY88
100306162,C6SY89
100306163,C6SY90
100306164,C6SY91
100306165,C6SY93
100306166,C6SY96
100306167,C6SY97
100306168,C6SY98
100306169,C6SY99
100306170,C6SYA0
100306171,C6SYA1
100306172,C6SYA4
100306173,C6SYA3
100306174,C6SYA5
100306175,C6SYA6
100306177,C6SYB2
100306178,C6SYB5
100306179,C6SYB6
100306180,C6SYB7
100306181,C6SYB8
100306182,C6SYB9
100306183,C6SYC0
100306184,C6SYC1
100306185,C6SYC3
100306187,C6SYC5
100306188,C6SYC7
100306189,C6SYC8
100306190,C6SYC9
100306191,C6SYD3
100306192,C6SYD4
100306193,C6SYD5
100306194,C6SYD7
100306195,C6SYD8
100306196,C6SYD9
100306197,C6SYE1
100306198,C6SYE2
100306199,C6SYE3
100306200,C6SYE4
100306201,C6SYE7
100306202,C6SYE8
100306203,C6SYE9
100306204,C6SYF0
100306205,C6SYF3
100306206,C6SYF2
100306207,C6SYF5
100306208,C6SYF6
100306209,K7KES9
100306210,C6SYF8
100306211,I1KUL8
100306212,C6SYG0
100306213,C6SYG1
100306214,C6SYG2
100306215,C6SYG4
100306216,C6SYG3
100306217,C6SYG5
100306218,C6SYG9
100306219,C6SYH1
100306220,C6SYH2
100306221,C6SYH8
100306222,C6SYH9
100306223,C6SYI0
100306224,C6SYI4
100306225,C6SYI6
100306226,C6SYJ0
100306227,C6SYJ1
100306228,I1K554
100306229,C6SYJ6
100306230,C6SYJ9
100306231,C6SYK0
100306232,C6SYK1
100306233,C6SYK2
100306234,C6SYK3
100306235,C6SYK4
100306236,C6SYK6
100306237,C6SYK8
100306238,C6SYK9
100306239,C6SYL0
100306240,K7MQK5
100306241,I1MV56
100306242,I1K0T7
100306243,C6SYL6
100306244,C6SYL5
100306245,I1L9G1
100306246,I1M0A8
100306248,C6SYL9
100306249,I1M2V2
100306250,C6SYM2
100306251,C6SYM4
100306252,C6SYM5
100306253,C6SYM6
100306254,C6SYM7
100306255,C6SYM8
100306256,C6SYN3
100306257,C6SYN4
100306258,C6SYN5
100306259,C6SYN8
100306260,C6SYN7
100306261,C6SYN9
100306262,C6SYP0
100306264,C6SYP2
100306265,C6SYP4
