enzyme_ec	metabolite_id	reaction_id	is_substrate	is_product
1.14.13.8	C02846	R03344	True	False
1.14.13.8	C01183	R03344	False	True
1.14.13.81	C11831	R10068	False	True
1.14.13.81	C00007	R10068	True	False
1.14.13.81	C04536	R10068	True	False
1.14.13.81	C11829	R06265	False	True
1.14.13.81	C11830	R06266	False	True
1.14.14.107	C00007	R06296	True	False
1.14.14.107	C03024	R06296	True	False
1.14.14.107	C03161	R06296	False	True
1.14.14.107	C11875	R06296	True	False
1.14.14.107	C11876	R06296	False	True
1.14.14.107	C11857	R10067	False	True
1.14.14.107	C11874	R10067	True	False
1.14.14.107	C06093	R06295	False	True
1.14.14.115	C00007	R10316	True	False
1.14.14.115	C19943	R10316	True	False
1.14.14.115	C02283	R10316	False	True
1.14.14.115	C03024	R10316	True	False
1.14.14.115	C03161	R10316	False	True
1.14.14.115	C20510	R10313	False	True
1.14.14.115	C20511	R10314	False	True
1.14.14.126	C00007	R10924	True	False
1.14.14.126	C17148	R10924	False	True
1.14.14.126	C03024	R10924	True	False
1.14.14.126	C03161	R10924	False	True
1.14.14.126	C08616	R10924	True	False
1.14.14.126	C20945	R10921	False	True
1.14.14.126	C20946	R10922	False	True
1.14.14.130	C00007	R11054	True	False
1.14.14.130	C03024	R11054	True	False
1.14.14.130	C02679	R11054	True	False
1.14.14.130	C03161	R11054	False	True
1.14.14.130	C21080	R11054	False	True
1.14.14.134	C00007	R09604	True	False
1.14.14.134	C19732	R09604	False	True
1.14.14.134	C03024	R09604	True	False
1.14.14.134	C03161	R09604	False	True
1.14.14.134	C08616	R09604	True	False
1.14.14.134	C19733	R09605	True	False
1.14.14.134	C08980	R09605	False	True
1.14.14.137	C00007	R07202	True	False
1.14.14.137	C06082	R07202	True	False
1.14.14.137	C03024	R07202	True	False
1.14.14.137	C03161	R07202	False	True
1.14.14.137	C15514	R07202	False	True
1.14.14.147	C00007	R07786	True	False
1.14.14.147	C16252	R07786	False	True
1.14.14.147	C15795	R07786	True	False
1.14.14.147	C03024	R07786	True	False
1.14.14.147	C03161	R07786	False	True
1.14.14.147	C16253	R07787	False	True
1.14.14.147	C15796	R07787	True	False
1.14.14.147	C16251	R07792	True	False
1.14.14.147	C15801	R07792	False	True
1.14.14.147	C15800	R07791	False	True
1.14.14.147	C15797	R07791	True	False
1.14.14.154	C00007	R05640	True	False
1.14.14.154	C11455	R05640	False	True
1.14.14.154	C03024	R05640	True	False
1.14.14.154	C01724	R05640	True	False
1.14.14.154	C03161	R05640	False	True
1.14.14.154	C00058	R05640	False	True
1.14.14.154	C01943	R05731	True	False
1.14.14.154	C11508	R05731	False	True
1.14.14.154	C21918	R12118	True	False
1.14.14.154	C21919	R12118	False	True
1.14.14.154	C21920	R12119	False	True
1.14.14.154	C21921	R12120	False	True
1.14.14.158	C00007	R07850	True	False
1.14.14.158	C03024	R07850	True	False
1.14.14.158	C05433	R07850	True	False
1.14.14.158	C03161	R07850	False	True
1.14.14.158	C15981	R07850	False	True
1.14.14.158	C08601	R07531	False	True
1.14.14.158	C08590	R07531	True	False
1.14.14.164	C00007	R12223	True	False
1.14.14.164	C22007	R12223	False	True
1.14.14.164	C03024	R12223	True	False
1.14.14.164	C09265	R12223	True	False
1.14.14.164	C03161	R12223	False	True
1.14.14.17	C00007	R02874	True	False
1.14.14.17	C03024	R02874	True	False
1.14.14.17	C00751	R02874	True	False
1.14.14.17	C03161	R02874	False	True
1.14.14.17	C01054	R02874	False	True
1.14.14.178	C00007	R07445	True	False
